recipient_name,total_awarded
"ENVIRONMENTAL RESTORATION LLC",4432300482.76
"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",2145807357.15
"BAY WEST LLC",1230000000.00
"HYDROGEOLOGIC, INC.",1130079463.95
"KEMRON/ARROWHEAD JV, LLC",696696604.51
"HGL-PORTAGE JV LLC",670000000.00
"OTIE AHTNA JV, LLC",670000000.00
"ENVIRONMENTAL QUALITY MANAGEMENT, INC",616667492.31
"KEMRON ENVIRONMENTAL SERVICES, INC.",462983052.33
"CONTI FEDERAL SERVICES, LLC",341614278.90
"SEVENSON ENVIRONMENTAL SERVICES, INC.",340000000.00
"AGILE DECISION SCIENCES, LLC",315446163.32
"ARROWHEAD CONTRACTING INC",270441528.44
"RED ROCK REMEDIATION JV",237778787.08
"ENDYNA, INC.",236751559.10
"DAYCOM LLC",223264366.14
"ABACO-BLACKFISH JV, LLC",196181751.72
"SYSTALEX CORPORATION",155053529.14
"DATAWIZ CORPORATION",153372031.71
"J. F. BRENNAN COMPANY, INC.",115631815.52
"CENTENNIAL TECHNOLOGIES INC",109524770.50
"KGSNE JV II LLC",105530485.00
"DAWSON SOLUTIONS, LLC",80820403.73
"COMPTECH COMPUTER TECHNOLOGIES INC",80792584.51
"C M C, INC.",80519823.00
"PEGASUS TECHNICAL SERVICES, INC",76379557.80
"VERACITY CONSULTING, INC.",75048714.98
"A AND M ENGINEERING & ENVIRONMENTAL SERVICES, INC",71800480.48
"S C & A INC",70283217.47
"VMD SYSTEMS INTEGRATORS, INC",68015283.21
"SAVAN GROUP LLC",67695043.82
"ARCTIC SLOPE MISSION SERVICES LLC",60406215.97
"TOEROEK ASSOCIATES, INC.",56643044.08
"LINTECH GLOBAL INC",55540983.47
"EUROFINS EATON ANALYTICAL, LLC",54775975.00
"GREAT LAKES ENVIRONMENTAL CENTER, INC.",53443189.26
"MPF FEDERAL, LLC",52585568.42
"OBSIDIAN GLOBAL, LLC",46449961.05
"FEDTEC LLC",46301778.40
"ASRC FEDERAL DATA SOLUTIONS, LLC",45000000.00
"RICHARD MCELHINEY ARCHITECT, PLLC",44238726.00
"CENSEO CONSULTING GROUP, INC.",43444819.80
"SPECPRO-AYUDA JV, LLC",42106361.68
"PLATEAU SOFTWARE, INC.",41979144.16
"I DESIGN AND PLANNING, LLC",41707759.77
"WILSON 5 SERVICE CO INC",40359426.06
"G.M. HILL ENGINEERING, INC.",40170140.89
"ELEVAR DESIGN GROUP, INC.",40168500.13
"IRON HORSE ARCHITECTS INC.",40000000.00
"OCULUS INC.",40000000.00
"EBL ENGINEERS, LLC",40000000.00
"INTEPROS FEDERAL INCORPORATED",36900065.13
"SONOMA TECHNOLOGY, INC.",36878548.00
"NEPTUNE AND COMPANY, INCORPORATED",34241708.37
"HORSLEY WITTEN GROUP, INC.",33692650.39
