federal_action_obligation,total_dollars_obligated,total_outlayed_amount_for_overall_award,current_total_value_of_award,awarding_agency_name,awarding_office_name,funding_agency_name,funding_office_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_name,primary_place_of_performance_country_name,transaction_description,prime_award_base_transaction_description,action_type,product_or_service_code_description,naics_description,recovered_materials_sustainability_code,domestic_or_foreign_entity,small_business_competitiveness_demonstration_program,alaskan_native_corporation_owned_firm,american_indian_owned_business,indian_tribe_federally_recognized,native_hawaiian_organization_owned_firm,tribally_owned_firm,veteran_owned_business,service_disabled_veteran_owned_business,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,minority_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size,emerging_small_business,us_federal_government,federally_funded_research_and_development_corp,federal_agency,usaspending_permalink
-512475.09,147408219.67,868289.51,294185648.66,Environmental Protection Agency,HEADQUARTERS ACQUISITION DIV (HQAD),Environmental Protection Agency,REGION 10 (FUNDING OFFICE),CDM FEDERAL PROGRAMS CORPORATION,DENVER,DENVER,COLORADO,UNITED STATES,"RAC II (R8, F&O)  MODIFICATION P00279: DE-OBLIGATE FUNDS","THIS REMEDIAL ACTION CONTRACT 2 FULL SERVICE (RAC 2 FS) FOR EPA'S REGION 8 PROVIDES PROFESSIONAL ARCHITECT/ENGINEER, TECHNICAL, AND MANAGEMENT SERVICES TO SUPPORT REMEDIAL RESPONSE, ENFORCEMENT OVERSIGHT AND NON-TIME CRITICAL REMOVAL ACTIVITIES  UNDER CERCLA, AS AMENDED BY SARA; AND THE ROBERT T. STAFFORD DISASTER RELIEF AND EMERGENCY ASSISTANCE ACT PURSUANT TO THE FEDERAL RESPONSE PLAN (FRP) AND OTHER LAWS TO HELP ADDRESS AND/OR MITIGATE ENDANGERMENT TO THE PUBLIC HEALTH, WELFARE OR ENVIRONMENT, AND TO SUPPORT STATES AND COMMUNITIES IN PREPARING FOR RESPONSES TO RELEASES OF HAZARDOUS SUBSTANCES, AS WELL AS COUNTER-TERRORISM.",FUNDING ONLY ACTION,ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING,REMEDIATION SERVICES,A,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPW05049_6800_-NONE-_-NONE-/
0.0,20000000.0,20000000.0,129749359.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC FOR AIR  RAD (OAR) (FUNDING),"NORESCO, LLC",WESTBOROUGH,WORCESTER,MASSACHUSETTS,UNITED STATES,"ENERGY SAVINGS PERFORMANCE CONTRACT (ESPC) TASK ORDER FOR ANN ARBOR, MI  P00004 ATTACHING REVISED TASK ORDER SCHEDULES","ENERGY SAVINGS PERFORMANCE CONTRACT (ESPC) TASK ORDER FOR ANN ARBOR, MI",CHANGE ORDER,SPECIAL STUDIES/ANALYSIS- BUILDING TECHNOLOGY,ENGINEERING SERVICES,D,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC23F0048_6800_DEEE0008038_8900/
255.59,62496573.54,,120478149.71,Environmental Protection Agency,REGION 3 CONTRACTING OFFICE,Environmental Protection Agency,REGION 3 (FUNDING OFFICE),"HYDROGEOLOGIC, INC.",HERNDON,FAIRFAX,VIRGINIA,UNITED STATES,MODIFICATION TO CONTRACT EP-S3-07-05 - CORRECTION TO SYNCHRONIZE FINANCIAL AND CONTRACT WRITING SYSTEMS,RACS II REGION III CONTRACT,FUNDING ONLY ACTION,ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING,REMEDIATION SERVICES,C,,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPS30705_6800_-NONE-_-NONE-/
-1903954.21,25200940.48,11388915.34,88621889.38,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),AT&T CORP,OAKTON,FAIRFAX,VIRGINIA,UNITED STATES,"AT&T CORP. - EPA DATA AND VOICE ENTERPRISE NETWORK SERVICES. THE PURPOSE OF MODIFICATION P00027 IS TO DE-OBLIGATE PRIOR YEAR FUNDING IN THE AMOUNT OF $1,903,954.21.",US ENVIRONMENTAL PROTECTION AGENCY (USEPA) DATA AND VOICE ENTERPRISE NETWORK SERVICES,FUNDING ONLY ACTION,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",WIRED TELECOMMUNICATIONS CARRIERS,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERD22F0007_6800_GS00Q17NSD3000_4732/
0.0,27104894.69,11388915.34,88621889.38,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),AT&T CORP,OAKTON,FAIRFAX,VIRGINIA,UNITED STATES,"EPA DATA AND VOICE ENTERPRISE NETWORK SERVICES. THE PURPOSE OF MODIFICATION P00026 IS TO APPROVE ATQS 62 -66, REVISE B-2 LOCAL CLAUSES EPA-B-32-104 CONSIDERATION AND PAYMENT TO REFLECT THE INCREASE OF THE ANNUAL TOTAL PRICE FOR ALL OPTION PERIODS (2-",US ENVIRONMENTAL PROTECTION AGENCY (USEPA) DATA AND VOICE ENTERPRISE NETWORK SERVICES,OTHER ADMINISTRATIVE ACTION,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",WIRED TELECOMMUNICATIONS CARRIERS,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERD22F0007_6800_GS00Q17NSD3000_4732/
-590464.74,53553281.1,14955800.98,75757481.82,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFFICE FOR WATER (OW) (FUNDING),THE CADMUS GROUP LLC,WALTHAM,MIDDLESEX,MASSACHUSETTS,UNITED STATES,IMPLEMENTATION OF THE PUBLIC WATER SYSTEMS SUPERVISION (PWSS) AND UNDERGROUND INJECTION CONTROL (UIC) PROGRAMS P00148-THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE FUNDING FROM OPTION PERIODS 6 (POP 7/1/21 TO 6/30/22) AND 7 (POP 7/1/22 TO 6/30/2,IGF::CL::IGF IMPLEMENTATION OF THE PUBLIC WATER SYSTEMS SUPERVISION (PWSS) AND UNDERGROUND INJECTION CONTROL (UIC) PROGRAMS,FUNDING ONLY ACTION,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,B,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPC15022_6800_-NONE-_-NONE-/
0.0,37494106.53,27100312.68,71272091.0,Environmental Protection Agency,REGION 4 CONTRACTING OFFICE,Environmental Protection Agency,REGION 4 (FUNDING OFFICE),"C M C, INC.",NICHOLASVILLE,JESSAMINE,KENTUCKY,UNITED STATES,THIS MODIFICATION APPROVES SUBCONTRACTOR CONSENT TO CONTINUE SERVICES AT THE SOUTHSIDE CHATTANOOGA SITE.,SOUTHSIDE CHATTANOOGA SITE RESIDENTIAL REMEDIATION ACTIVITIES AND SERVICES REQUIRED TO PROTECT PUBLIC HEALTH AND ENVIRONMENTAL ISSUES AT THE SITE.  SSID:B4J4RA02 ;,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0422F0013_6800_68HE0421D0012_6800/
0.0,25200940.48,11388915.34,69861580.97,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),AT&T CORP,OAKTON,FAIRFAX,VIRGINIA,UNITED STATES,"AT&T CORP. - EPA DATA AND VOICE ENTERPRISE NETWORK SERVICES.   SEE MODIFICATION LOG UNDER SUPPORTING DOCUMENTS FOR INFO. ON ALL MODS.   THE PURPOSE OF MODIFICATION P00028 IS TO APPROVE ATQ 67, REVISE B-2 LOCAL CLAUSES EPA-B-32-104 CONSIDERATI",US ENVIRONMENTAL PROTECTION AGENCY (USEPA) DATA AND VOICE ENTERPRISE NETWORK SERVICES,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",WIRED TELECOMMUNICATIONS CARRIERS,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERD22F0007_6800_GS00Q17NSD3000_4732/
0.0,25200940.48,11388915.34,69598434.84,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),AT&T CORP,OAKTON,FAIRFAX,VIRGINIA,UNITED STATES,"AT&T CORP. - EPA DATA AND VOICE ENTERPRISE NETWORK SERVICES.   SEE MODIFICATION LOG UNDER SUPPORTING DOCUMENTS FOR INFO. ON ALL MODS.   THE PURPOSE OF MODIFICATION P00029 IS TO APPROVE ATQS 68 - 71, REVISE B-2 LOCAL CLAUSES EPA-B-32-104 CONSI",US ENVIRONMENTAL PROTECTION AGENCY (USEPA) DATA AND VOICE ENTERPRISE NETWORK SERVICES,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",WIRED TELECOMMUNICATIONS CARRIERS,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERD22F0007_6800_GS00Q17NSD3000_4732/
0.0,25200940.48,11388915.34,69580469.63,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),AT&T CORP,OAKTON,FAIRFAX,VIRGINIA,UNITED STATES,"AT&T CORP. - EPA DATA AND VOICE ENTERPRISE NETWORK SERVICES.   SEE MODIFICATION LOG UNDER SUPPORTING DOCUMENTS FOR INFO. ON ALL MODS.   APPROVE ATQ 72, REVISE B-2 LOCAL CLAUSES EPA-B-32-104 CONSIDERATION AND PAYMENT TO REFLECT THE DECREASE AN",US ENVIRONMENTAL PROTECTION AGENCY (USEPA) DATA AND VOICE ENTERPRISE NETWORK SERVICES,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",WIRED TELECOMMUNICATIONS CARRIERS,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERD22F0007_6800_GS00Q17NSD3000_4732/
