recipient_name,total_awarded
"AT&T CORP",2559228537.60
"AECOM TECHNICAL SERVICES, INC.",1794783550.82
"CDM A JOINT VENTURE",1574907970.28
"APTIM HDR, LLC",1570782611.00
"EQ & CH REMEDIATION",1570000000.00
"VERSAR-ENVIROCON JV",1570000000.00
"EASTERN RESEARCH GROUP INC",1004620356.18
"HDR APTIM LLC",921623817.70
"WESTON SOLUTIONS INC",893188909.68
"TETRA TECH, INC.",813205897.76
"WSP USA ENVIRONMENT & INFRASTRUCTURE INC.",699443470.61
"REMEDIATION SERVICES JV",670000000.00
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",579386331.51
"BOOZ ALLEN HAMILTON INC",569223394.30
"ARCADIS-FORGEN JV, A JOINT VENTURE",560000000.00
"CDM FEDERAL PROGRAMS CORPORATION",547602046.28
"RESEARCH TRIANGLE INSTITUTE",504697438.47
"ICF INCORPORATED, L.L.C.",462709262.23
"CGI FEDERAL INC.",462231144.34
"CH2M HILL, INC",265148775.23
"SCIENCE APPLICATIONS INTERNATIONAL CORPORATION",238820496.15
"OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED",188243966.52
"NORESCO, LLC",160517908.00
"SRC INC",144190565.77
"THE CADMUS GROUP LLC",123287663.27
"DUKE ENERGY PROGRESS, LLC",119807173.92
"ABT ASSOCIATES INC",114064473.57
"DATA SYSTEMS ANALYSTS INC",108459224.82
"MAXIMUS FEDERAL CONSULTING, LLC",96880178.43
"UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",91745931.78
"TETRA TECH, INC",86032008.19
"APTIM FEDERAL SERVICES LLC",82814378.73
"TECHLAW CONSULTANTS INC",78535761.45
"UNIVERSITY OF CALIFORNIA, DAVIS",65091090.42
"DELL FEDERAL SYSTEMS L.P",61895724.21
"ENERGY SYSTEMS GROUP LLC",58386112.00
"LEIDOS, INC.",51387157.51
"BLUEWATER FEDERAL SOLUTIONS, INC.",49870924.68
"SERVICESOURCE INC",46577658.31
"JACOBS TECHNOLOGY INC.",46537772.66
"ENVIRONMENTAL RESTORATION LLC",40981986.11
"PG ENVIRONMENTAL, LLC",40830530.00
"TRC ENVIRONMENTAL CORP",40472356.96
"CONSOLIDATED SAFETY SERVICES INCORPORATED",40125881.00
"RURAL COMMUNITY ASSISTANCE CORPORATION",35988509.00
"ALLIANCE TECHNICAL GROUP LLC",34817029.00
"UNISON SOFTWARE, INC.",31978071.36
"ABT ASSOCIATES INC.",28947325.45
"AT&T MOBILITY LLC",28626086.58
"SHEARMAN & STERLING LLP",25185200.00
"BATTELLE MEMORIAL INSTITUTE",24998014.42
"PROJECT PERFORMANCE COMPANY, LLC",24507081.94
"VERSAR-WSP JV",21895916.30
"CAPITAL RELOCATION SERVICES L.L.C.",21132709.75
"INDUSTRIAL ECONOMICS INC",20910592.89
"RELIANCE RELOCATION SERVICES, INC",20806568.90
"SOUTHWEST RESEARCH INSTITUTE",17899595.00
"HAWKINS DELAFIELD & WOOD LLP",16286460.00
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",13091539.00
"SERCO INC",12352418.87
"GARTNER, INC.",11550352.08
"EVOTEC US INC",10507354.37
"NORTON ROSE FULBRIGHT US LLP",9246026.00
"AMERICAN CHEMICAL SOCIETY",9179344.27
"CELLCO PARTNERSHIP",8599185.36
"GOODWILL VISION ENTERPRISES, INC.",7609120.17
"KYNETEC USA INC",7213358.00
"T-MOBILE USA, INC.",6819579.92
"ELSEVIER B.V.",6333625.41
"WEST PUBLISHING CORPORATION",5290950.46
"AVL TEST SYSTEMS INC",5264918.23
